Comune,Conteggio,Provincia
MILANO,9974,MI
BRESCIA,2222,BS
BERGAMO,1680,BG
CREMONA,1517,CR
MONZA,1092,MB
LODI,743,LO
CINISELLO BALSAMO,634,MI
LEGNANO,593,MI
PAVIA,556,PV
VIGEVANO,547,PV
COLOGNO MONZESE,534,MI
CREMA,522,CR
SESTO SAN GIOVANNI,501,MI
COMO,485,CO
VOGHERA,468,PV
RHO,447,MI
LECCO,437,LC
PADERNO DUGNANO,425,MI
BUSTO ARSIZIO,390,VA
CODOGNO,390,LO
CANTU',374,CO
ALBINO,342,BG
MANTOVA,324,MN
TREVIGLIO,323,BG
VARESE,318,VA
ABBIATEGRASSO,315,MI
BRESSO,312,MI
SERIATE,307,BG
DESIO,306,MB
DALMINE,300,BG
DESENZANO DEL GARDA,295,BS
PIOLTELLO,287,MI
CASALPUSTERLENGO,281,LO
CASTIGLIONE DELLE STIVIERE,276,MN
NEMBRO,275,BG
MONTICHIARI,275,BS
MELEGNANO,274,MI
SAN GIULIANO MILANESE,273,MI
ERBA,270,CO
GARBAGNATE MILANESE,267,MI
CERNUSCO SUL NAVIGLIO,265,MI
CASTELLEONE,262,CR
SEREGNO,260,MB
SORESINA,257,CR
CHIARI,257,BS
BRUGHERIO,254,MB
GALLARATE,252,VA
CASALMAGGIORE,251,CR
LISSONE,251,MB
CASTIGLIONE D'ADDA,244,LO
ALZANO LOMBARDO,242,BG
VIADANA,242,MN
SARONNO,239,VA
SEGRATE,237,MI
CORSICO,235,MI
VIMERCATE,233,MB
ROZZANO,220,MI
ORZINUOVI,218,BS
LUMEZZANE,217,BS
PALAZZOLO SULL'OGLIO,217,BS
CESANO MADERNO,216,MB
DARFO BOARIO TERME,211,BS
BOLLATE,210,MI
GUSSAGO,210,BS
SONDRIO,210,SO
VIMODRONE,208,MI
MANERBIO,206,BS
GHEDI,201,BS
LAVENO-MOMBELLO,200,VA
ALBESE CON CASSANO,199,CO
ROMANO DI LOMBARDIA,197,BG
CESANO BOSCONE,191,MI
LIMBIATE,191,MB
CARPENEDOLO,190,BS
ROVATO,189,BS
MERATE,188,LC
MELZO,186,MI
TREZZO SULL'ADDA,184,MI
GIUSSANO,182,MB
CONCESIO,182,BS
PARABIAGO,181,MI
SAN COLOMBANO AL LAMBRO,178,MI
CLUSONE,176,BG
CARATE BRIANZA,176,MB
BAGNOLO MELLA,176,BS
REZZATO,175,BS
SAN DONATO MILANESE,174,MI
CASSANO D'ADDA,174,MI
ZOGNO,173,BG
SANT'ANGELO LODIGIANO,169,LO
CASTENEDOLO,167,BS
MORTARA,167,PV
VEROLANUOVA,166,BS
GORGONZOLA,165,MI
MAGENTA,164,MI
OSPITALETTO,160,BS
CASALBUTTANO ED UNITI,159,CR
STEZZANO,159,BG
LAINATE,159,MI
MORBEGNO,158,SO
LONATO DEL GARDA,157,BS
CARAVAGGIO,155,BG
VILLA CARCINA,154,BS
TRAVAGLIATO,154,BS
CORMANO,153,MI
PONTE SAN PIETRO,153,BG
MALNATE,152,VA
OSIO SOTTO,150,BG
LENO,148,BS
TREVIOLO,148,BG
CALOLZIOCORTE,148,LC
PIZZIGHETTONE,147,CR
PISOGNE,147,BS
BORGHETTO LODIGIANO,147,LO
BORGOSATOLLO,147,BS
PONTEVICO,147,BS
VITTUONE,147,MI
MEDIGLIA,146,MI
SCANZOROSCIATE,145,BG
BESANA IN BRIANZA,145,MB
NOVA MILANESE,144,MB
GARDONE VAL TROMPIA,143,BS
STRADELLA,143,PV
GAVARDO,142,BS
VOLTA MANTOVANA,142,MN
SUZZARA,140,MN
ARESE,140,MI
BORGO VIRGILIO,139,MN
GALBIATE,138,LC
SETTIMO MILANESE,137,MI
TORRE BOLDONE,133,BG
NOVATE MILANESE,132,MI
NAVE,131,BS
ESINE,131,BS
CASTELVERDE,129,CR
BELGIOIOSO,129,PV
GAZZANIGA,127,BG
CAZZAGO SAN MARTINO,127,BS
CUSANO MILANINO,126,MI
BINASCO,126,MI
ISEO,125,BS
SOSPIRO,125,CR
CASTEL GOFFREDO,125,MN
CAPRIOLO,125,BS
MARIANO COMENSE,124,CO
MARTINENGO,124,BG
BRENO,123,BS
ASOLA,123,MN
CARUGATE,123,MI
CERTOSA DI PAVIA,122,PV
RODENGO-SAIANO,121,BS
TRADATE,121,VA
CILAVEGNA,120,PV
COCQUIO-TREVISAGO,119,VA
CESATE,118,MI
CERRO MAGGIORE,117,MI
TIRANO,117,SO
ARCORE,116,MB
SALO',116,BS
CAPRIATE SAN GERVASIO,115,BG
INZAGO,115,MI
COCCAGLIO,115,BS
BREMBATE DI SOPRA,115,BG
RONCADELLE,114,BS
GRUMELLO DEL MONTE,114,BG
BOTTICINO,114,BS
GARLASCO,113,PV
BRONI,113,PV
CASTELLI CALEPIO,113,BG
MUGGIO',112,MB
URGNANO,110,BG
SAN BASSANO,110,CR
SAREZZO,109,BS
CASATENOVO,108,LC
VESCOVATO,108,CR
CONCOREZZO,108,MB
RIVOLTA D'ADDA,107,CR
PANDINO,106,CR
CORBETTA,106,MI
PAULLO,106,MI
CENTRO VALLE INTELVI,106,CO
COLOGNO AL SERIO,106,BG
PIANCOGNO,105,BS
VILLA DI SERIO,104,BG
CASTEL MELLA,103,BS
CALUSCO D'ADDA,103,BG
CASSINA DE' PECCHI,103,MI
VESTONE,102,BS
PONTOGLIO,102,BS
CAVA MANARA,101,PV
AROSIO,101,CO
OFFANENGO,100,CR
DUBINO,100,SO
TRESCORE BALNEARIO,99,BG
PESSANO CON BORNAGO,99,MI
CORNAREDO,99,MI
VERTOVA,99,BG
MARCARIA,99,MN
BEDIZZOLE,98,BS
PROVAGLIO D'ISEO,97,BS
ADRO,97,BS
BIASSONO,97,MB
SENAGO,97,MI
PESCHIERA BORROMEO,96,MI
VANZAGO,96,MI
CARONNO PERTUSELLA,95,VA
TREZZANO SUL NAVIGLIO,95,MI
CALVISANO,95,BS
VERDELLO,94,BG
ZANICA,94,BG
MEDA,93,MB
MALONNO,93,BS
VOBARNO,92,BS
MALEO,92,LO
COSTA VOLPINO,92,BG
GOTTOLENGO,91,BS
GAMBOLO',91,PV
AGRATE BRIANZA,91,MB
EDOLO,91,BS
SORISOLE,91,BG
BAREGGIO,91,MI
MOZZO,91,BG
SONCINO,90,CR
BONATE SOPRA,90,BG
BUSNAGO,90,MB
BORGO SAN GIACOMO,89,BS
CALCINATO,89,BS
PONTERANICA,89,BG
TOSCOLANO-MADERNO,88,BS
MAZZANO,88,BS
OLGIATE MOLGORA,88,LC
CINGIA DE' BOTTI,87,CR
SOMMA LOMBARDO,87,VA
SOVERE,87,BG
PASSIRANO,87,BS
BIENNO,86,BS
BUCCINASCO,86,MI
CASTEGNATO,85,BS
PORLEZZA,85,CO
ALBUZZANO,85,PV
AZZANO SAN PAOLO,85,BG
ROBECCO D'OGLIO,84,CR
RIVANAZZANO TERME,84,PV
CANNETO SULL'OGLIO,84,MN
SAN GIOVANNI BIANCO,84,BG
SAN VITTORE OLONA,83,MI
PIEVE EMANUELE,83,MI
ARTOGNE,83,BS
VILLA D'ALME',82,BG
SEVESO,82,MB
VIDIGULFO,82,PV
GORLA MINORE,82,VA
CURNO,82,BG
SERMIDE E FELONICA,81,MN
GRASSOBBIO,81,BG
GANDINO,81,BG
TRIGOLO,81,CR
ERBUSCO,81,BS
LODI VECCHIO,81,LO
VALMADRERA,81,LC
VAL BREMBILLA,80,BG
GUIDIZZOLO,80,MN
VILLA CORTESE,80,MI
CURTATONE,80,MN
BOVEZZO,80,BS
ALBANO SANT'ALESSANDRO,80,BG
BEREGAZZO CON FIGLIARO,80,CO
VERDELLINO,79,BG
OGGIONO,79,LC
BORNO,79,BS
ROVETTA,78,BG
BERNAREGGIO,78,MB
GORLE,78,BG
SAN PAOLO,78,BS
SAN PELLEGRINO TERME,77,BG
PALADINA,77,BG
SEDRIANO,76,MI
NERVIANO,76,MI
VILLANUOVA SUL CLISI,76,BS
VILLASANTA,76,MB
CHIGNOLO PO,75,PV
VIGGIU',75,VA
CASTELLANZA,75,VA
COLOGNE,75,BS
CORTE FRANCA,75,BS
BUSTO GAROLFO,74,MI
PERSICO DOSIMO,74,CR
CANZO,74,CO
QUINZANO D'OGLIO,73,BS
MAPELLO,73,BG
GAVIRATE,73,VA
LEFFE,72,BG
DORNO,72,PV
CASTREZZATO,72,BS
PALOSCO,72,BG
TERNO D'ISOLA,72,BG
CASTIONE DELLA PRESOLANA,71,BG
BAGOLINO,71,BS
BREMBATE,71,BG
MONTIRONE,71,BS
TURBIGO,71,MI
PRADALUNGA,70,BG
OSTIANO,70,CR
BRIGNANO GERA D'ADDA,70,BG
GORLAGO,70,BG
CIVIDATE AL PIANO,70,BG
GOITO,70,MN
VAREDO,69,MB
ALME',69,BG
BOVISIO-MASCIAGO,69,MB
BUSSERO,69,MI
SOLARO,69,MI
PARATICO,69,BS
PADENGHE SUL GARDA,68,BS
SCHIVENOGLIA,68,MN
LIVRAGA,68,LO
PERO,68,MI
TORBOLE CASAGLIA,68,BS
DONGO,67,CO
BRIVIO,67,LC
CASTEGGIO,67,PV
CAVENAGO DI BRIANZA,67,MB
TEGLIO,67,SO
VILLA D'ADDA,67,BG
MONTICELLI BRUSATI,66,BS
CASAZZA,66,BG
CASORATE PRIMO,65,PV
FLERO,65,BS
CHIAVENNA,65,SO
SARNICO,65,BG
SPIRANO,65,BG
RODIGO,65,MN
SOLFERINO,65,MN
LOVERE,65,BG
RANICA,65,BG
BELLUSCO,64,MB
BARANZATE,64,MI
VAPRIO D'ADDA,64,MI
SAN BENEDETTO PO,64,MN
SABBIO CHIESE,64,BS
LONATE POZZOLO,63,VA
ARLUNO,63,MI
CORNATE D'ADDA,63,MB
PEGOGNAGA,63,MN
PEDRENGO,63,BG
BOLGARE,62,BG
LOCATE DI TRIULZI,62,MI
CASSOLNOVO,62,PV
CALVENZANO,62,BG
CASTELCOVATI,61,BS
MARCIGNAGO,61,PV
CAPO DI PONTE,61,BS
VALBREMBO,61,BG
INVERIGO,61,CO
ALMENNO SAN SALVATORE,61,BG
ALMENNO SAN BARTOLOMEO,61,BG
GESSATE,61,MI
VAILATE,61,CR
INVERUNO,60,MI
SAN PAOLO D'ARGON,60,BG
ROBBIO,60,PV
NUVOLERA,60,BS
SAN MARTINO IN STRADA,60,LO
SAN ROCCO AL PORTO,60,LO
BERBENNO DI VALTELLINA,60,SO
TAVERNERIO,60,CO
SIRMIONE,59,BS
ISORELLA,59,BS
SERGNANO,59,CR
POGLIANO MILANESE,59,MI
CHIUDUNO,59,BG
BERZO INFERIORE,58,BS
ARCENE,58,BG
PRALBOINO,58,BS
CAPRIANO DEL COLLE,58,BS
VERGIATE,58,VA
CENE,58,BG
CASSANO MAGNAGO,57,VA
OPERA,57,MI
MESERO,57,MI
CISANO BERGAMASCO,57,BG
CASNIGO,57,BG
TAVAZZANO CON VILLAVESCO,57,LO
POZZUOLO MARTESANA,57,MI
LESMO,57,MB
CASEI GEROLA,56,PV
CIVATE,56,LC
CISERANO,56,BG
ANNICCO,56,CR
MONTICELLO BRIANZA,56,LC
CASALMORANO,56,CR
TURATE,56,CO
BRUSAPORTO,56,BG
OSIO SOPRA,56,BG
CALCINATE,55,BG
VILLONGO,55,BG
VARZI,55,PV
VIGNATE,55,MI
PIADENA DRIZZONA,55,CR
PRESEZZO,55,BG
BELLAGIO,54,CO
FIORANO AL SERIO,54,BG
PIAN CAMUNO,54,BS
BONATE SOTTO,54,BG
TRENZANO,54,BS
OLGINATE,54,LC
VEDANO AL LAMBRO,54,MB
PORTO MANTOVANO,54,MN
GRAVEDONA ED UNITI,53,CO
CERMENATE,53,CO
VERDERIO,53,LC
ROMANENGO,53,CR
TELGATE,53,BG
SOTTO IL MONTE GIOVANNI XXIII,52,BG
APPIANO GENTILE,52,CO
POZZO D'ADDA,52,MI
FINO MORNASCO,52,CO
BOLTIERE,52,BG
LENTATE SUL SEVESO,52,MB
DELLO,52,BS
SABBIONETA,52,MN
ALBAVILLA,51,CO
CARNATE,51,MB
CANEGRATE,51,MI
FARA GERA D'ADDA,50,BG
PONTIROLO NUOVO,50,BG
SORDIO,50,LO
RIPALTA CREMASCA,50,CR
TREMEZZINA,50,CO
TALAMONA,50,SO
BAGNOLO CREMASCO,50,CR
SERRAVALLE A PO,49,MN
PANTIGLIATE,49,MI
RIVAROLO MANTOVANO,49,MN
VIZZOLO PREDABISSI,49,MI
LEVATE,48,BG
PERLEDO,48,LC
PONCARALE,48,BS
BAGNATICA,48,BG
SANNAZZARO DE' BURGONDI,48,PV
CIVIDATE CAMUNO,48,BS
CERVESINA,48,PV
BOTTANUCO,47,BG
ROGNO,47,BG
CANONICA D'ADDA,47,BG
URAGO D'OGLIO,46,BS
LOGRATO,46,BS
PARRE,46,BG
RESCALDINA,46,MI
ROBBIATE,46,LC
MULAZZANO,46,LO
MARCHENO,46,BS
SAN GIOVANNI IN CROCE,46,CR
AGNADELLO,45,CR
GHISALBA,45,BG
CARDANO AL CAMPO,45,VA
ROCCAFRANCA,45,BS
MONTODINE,45,CR
OLGIATE COMASCO,45,CO
CALCIO,45,BG
LAZZATE,44,MB
MOGLIA,44,MN
CASELLE LURANI,44,LO
BARBARIGA,44,BS
GONZAGA,44,MN
COVO,44,BG
COLLEBEATO,44,BS
BARLASSINA,44,MB
MARONE,43,BS
ZELO BUON PERSICO,43,LO
BAGNOLO SAN VITO,43,MN
ARDENNO,43,SO
ALZATE BRIANZA,43,CO
OLGIATE OLONA,43,VA
CASTANO PRIMO,42,MI
ENDINE GAIANO,42,BG
BELLANO,42,LC
PIAZZA BREMBANA,42,BG
SAN ZENO NAVIGLIO,42,BS
PAVONE DEL MELLA,42,BS
DOSOLO,41,MN
GUSSOLA,41,CR
POMPIANO,41,BS
ARDESIO,41,BG
GROPELLO CAIROLI,41,PV
CAMPOSPINOSO,41,PV
ALFIANELLO,41,BS
GIANICO,41,BS
CALCO,41,LC
CARVICO,41,BG
SOMAGLIA,41,LO
MISSAGLIA,41,LC
USMATE VELATE,41,MB
BONEMERSE,41,CR
VERANO BRIANZA,40,MB
CAPIAGO INTIMIANO,40,CO
ARCONATE,40,MI
BOZZOLO,40,MN
VAIANO CREMASCO,40,CR
OME,40,BS
CORTE DE' FRATI,39,CR
MANDELLO DEL LARIO,39,LC
VEROLAVECCHIA,39,BS
BALLABIO,39,LC
SERLE,39,BS
CERNUSCO LOMBARDONE,39,LC
CELLATICA,39,BS
CURA CARPIGNANO,39,PV
MADONE,38,BG
DIZZASCO,38,CO
SCANDOLARA RAVARA,38,CR
LALLIO,38,BG
SESTO ED UNITI,38,CR
FOMBIO,38,LO
CASTEL ROZZONE,38,BG
VILLA D'OGNA,38,BG
ANGOLO TERME,38,BS
ACQUANEGRA CREMONESE,38,CR
ALBONESE,38,PV
ACQUANEGRA SUL CHIESE,38,MN
COMEZZANO-CIZZAGO,38,BS
MANERBA DEL GARDA,38,BS
ZAVATTARELLO,38,PV
TRUCCAZZANO,38,MI
CAPONAGO,37,MB
COLZATE,37,BG
SAN ZENONE AL LAMBRO,37,MI
SOLBIATE CON CAGNO,37,CO
BASIGLIO,37,MI
VILLANTERIO,37,PV
PIEVE PORTO MORONE,37,PV
SALE MARASINO,37,BS
CASTELGERUNDO,37,LO
PIANENGO,37,CR
INTROBIO,37,LC
POGGIO RUSCO,37,MN
BORGO MANTOVANO,37,MN
SALA COMACINA,36,CO
CASTELNUOVO BOCCA D'ADDA,36,LO
BREMBIO,36,LO
SUELLO,36,LC
COMUN NUOVO,36,BG
FRASCAROLO,36,PV
SETTALA,36,MI
OFFLAGA,36,BS
SEDRINA,36,BG
REMEDELLO,36,BS
MALEGNO,36,BS
CAPRINO BERGAMASCO,36,BG
ORIGGIO,35,VA
CORNEGLIANO LAUDENSE,35,LO
VEDUGGIO CON COLZANO,35,MB
VELLEZZO BELLINI,35,PV
CASIRATE D'ADDA,35,BG
PADERNO FRANCIACORTA,35,BS
MENCONICO,35,PV
GAMBARA,35,BS
SAN GIORGIO BIGARELLO,35,MN
SUISIO,35,BG
BORMIO,35,SO
MARCALLO CON CASONE,35,MI
LIPOMO,35,CO
ROE' VOLCIANO,34,BS
BARIANO,34,BG
TRESCORE CREMASCO,34,CR
CAROBBIO DEGLI ANGELI,34,BG
GUARDAMIGLIO,34,LO
CAVRIANA,34,MN
PREGNANA MILANESE,34,MI
SPINADESCO,34,CR
LIVIGNO,34,SO
MASSALENGO,34,LO
CISLAGO,34,VA
MACHERIO,34,MB
SPINO D'ADDA,34,CR
VALFURVA,34,SO
CASALETTO VAPRIO,34,CR
ALTA VALLE INTELVI,34,CO
CASALOLDO,34,MN
GORNO,34,BG
FILAGO,33,BG
MAGNAGO,33,MI
VILLA GUARDIA,33,CO
COSTA MASNAGA,33,LC
FORESTO SPARSO,33,BG
SAN GIORGIO SU LEGNANO,33,MI
VALLE LOMELLINA,33,PV
ZEME,33,PV
CENATE SOTTO,33,BG
SAMARATE,33,VA
CUGGIONO,33,MI
ASSAGO,33,MI
ISOLA DOVARESE,32,CR
COGLIATE,32,MB
FERNO,32,VA
FAGNANO OLONA,32,VA
OSTIGLIA,32,MN
SONDALO,32,SO
FORNOVO SAN GIOVANNI,32,BG
RUDIANO,32,BS
VALDIDENTRO,32,SO
FONTANELLA,32,BG
LACCHIARELLA,32,MI
PREVALLE,32,BS
SAN MARTINO SICCOMARIO,32,PV
CETO,32,BS
TRIUGGIO,32,MB
MERONE,31,CO
MISANO DI GERA D'ADDA,31,BG
COLICO,31,LC
SAN FIORANO,31,LO
GODIASCO,31,PV
CIGOLE,31,BS
SECUGNAGO,31,LO
CASALMAIOCCO,31,LO
GROMO,31,BG
SANTO STEFANO LODIGIANO,31,LO
TAVERNOLA BERGAMASCA,31,BG
MONTELLO,31,BG
BASIANO,31,MI
PEZZAZE,31,BS
PONTIDA,31,BG
LA VALLETTA BRIANZA,31,LC
LUINO,31,VA
SAN FERMO DELLA BATTAGLIA,31,CO
OSSONA,31,MI
TEMU',31,BS
LISCATE,31,MI
MADIGNANO,31,CR
CIGOGNOLA,31,PV
GAGGIANO,31,MI
MIRADOLO TERME,30,PV
DOVERA,30,CR
MORNICO AL SERIO,30,BG
CASSAGO BRIANZA,30,LC
SIZIANO,30,PV
DRESANO,30,MI
AZZANO MELLA,30,BS
PIARIO,30,BG
LURANO,30,BG
SERINA,30,BG
CHIGNOLO D'ISOLA,30,BG
LANDRIANO,30,PV
VALBONDIONE,29,BG
ROBECCO SUL NAVIGLIO,29,MI
BERZO DEMO,29,BS
PALAZZAGO,29,BG
RONCELLO,29,MB
PONTE NOSSA,29,BG
PINAROLO PO,29,PV
